Change Type,DB ID,Old Name,New Name,Old Scientific Name,New Scientific Name,Old NBN GUID,New NBN GUID,Match Score,Match Type,Conservation Status
INSERT,NEW,-,,-,Promethes sulcator,-,NBNSYS0000031436,-,new_species,
INSERT,NEW,-,Small Scissor Bee,-,Chelostoma campanularum,-,NHMSYS0000875648,-,new_species,
INSERT,NEW,-,Small Sallow Mining Bee,-,Andrena praecox,-,NHMSYS0000875257,-,new_species,
INSERT,NEW,-,,-,Perilissus albitarsis,-,NHMSYS0000900787,-,new_species,
INSERT,NEW,-,Shady Tigress,-,Athalia lugens,-,NHMSYS0020480804,-,new_species,
INSERT,NEW,-,Common Mini-miner,-,Andrena minutula,-,NHMSYS0000875234,-,new_species,
INSERT,NEW,-,,-,Mimesa lutaria,-,NHMSYS0000876336,-,new_species,
INSERT,NEW,-,Gwynne's Mining Bee,-,Andrena bicolor,-,NHMSYS0000875171,-,new_species,
INSERT,NEW,-,,-,Euura pavida,-,NHMSYS0021240403,-,new_species,
INSERT,NEW,-,,-,Itoplectis maculator,-,NBNSYS0000031079,-,new_species,
INSERT,NEW,-,,-,Macrophya punctumalbum,-,NHMSYS0020920197,-,new_species,
INSERT,NEW,-,Variable Nomad Bee,-,Nomada zonata,-,NHMSYS0020936600,-,new_species,
INSERT,NEW,-,Chalk Yellow-face Bee,-,Hylaeus dilatatus,-,NHMSYS0000876102,-,new_species,
INSERT,NEW,-,Heath Sand Wasp,-,Ammophila pubescens,-,NHMSYS0000875038,-,new_species,
INSERT,NEW,-,,-,Lissonota coracina,-,NHMSYS0020920157,-,new_species,
INSERT,NEW,-,,-,Priocnemis parvula,-,NBNSYS0000009407,-,new_species,
INSERT,NEW,-,Small Shaggy Bee,-,Panurgus calcaratus,-,NHMSYS0000876529,-,new_species,
INSERT,NEW,-,,-,Cladius pilicornis,-,NHMSYS0020920101,-,new_species,
INSERT,NEW,-,,-,Pseudomalus violaceus,-,NBNSYS0100004923,-,new_species,
INSERT,NEW,-,,-,Stigmus pendulus,-,NHMSYS0000876716,-,new_species,
INSERT,NEW,-,,-,Dipogon variegatus,-,NBNSYS0000009397,-,new_species,
