Change Type,DB ID,Old Name,New Name,Old Scientific Name,New Scientific Name,Old NBN GUID,New NBN GUID,Match Score,Match Type,Conservation Status
INSERT,NEW,-,,-,Lathrobium geminum,-,NBNSYS0000023355,-,new_species,
INSERT,NEW,-,,-,Polydrusus flavipes,-,NBNSYS0000025143,-,new_species,
INSERT,NEW,-,,-,Malthinus flaveolus,-,NBNSYS0000024252,-,new_species,
INSERT,NEW,-,,-,Omaloplia ruricola,-,NHMSYS0001719289,-,new_species,
INSERT,NEW,-,,-,Atheta volans,-,NBNSYS0000023839,-,new_species,
INSERT,NEW,-,,-,Calathus erratus,-,NBNSYS0000007305,-,new_species,
INSERT,NEW,-,Dune Chafer,-,Anomala dubia,-,NBNSYS0000011543,-,new_species,
INSERT,NEW,-,,-,Otiorhynchus armadillo,-,NHMSYS0020920009,-,new_species,
INSERT,NEW,-,,-,Carpelimus rivularis,-,NBNSYS0000023226,-,new_species,
INSERT,NEW,-,,-,Calathus ambiguus,-,NBNSYS0000007304,-,new_species,
INSERT,NEW,-,,-,Habrocerus capillaricornis,-,NBNSYS0000023584,-,new_species,
INSERT,NEW,-,,-,Meligethes solidus,-,NBNSYS0000024464,-,new_species,
INSERT,NEW,-,,-,Graptodytes pictus,-,NHMSYS0001718251,-,new_species,
INSERT,NEW,-,,-,Stenolophus skrimshiranus,-,NBNSYS0000007429,-,new_species,
INSERT,NEW,-,,-,Ceutorhynchus alliariae,-,NBNSYS0000025357,-,new_species,
INSERT,NEW,-,,-,Hyphydrus ovatus,-,NBNSYS0000007521,-,new_species,
INSERT,NEW,-,,-,Aloconota currax,-,NBNSYS0000023780,-,new_species,
INSERT,NEW,-,,-,Helophorus aequalis,-,NBNSYS0000007655,-,new_species,
INSERT,NEW,-,,-,Sibinia primita,-,NBNSYS0000156731,-,new_species,
INSERT,NEW,-,,-,Anotylus nitidulus,-,NBNSYS0000023254,-,new_species,
INSERT,NEW,-,,-,Ophonus ardosiacus,-,NHMSYS0020920005,-,new_species,
INSERT,NEW,-,,-,Acrotrichis cognata,-,NBNSYS0000022917,-,new_species,
INSERT,NEW,-,,-,Elodes pseudominutus,-,NHMSYS0021422179,-,new_species,
INSERT,NEW,-,,-,Quedius picipes,-,NBNSYS0000023569,-,new_species,
INSERT,NEW,-,,-,Agathidium rotundatum,-,NBNSYS0000022991,-,new_species,
INSERT,NEW,-,,-,Anacaena limbata,-,NHMSYS0001716791,-,new_species,
INSERT,NEW,-,,-,Stictoleptura rubra,-,NHMSYS0020153529,-,new_species,
INSERT,NEW,-,Banded Pine Weevil,-,Pissodes castaneus,-,NHMSYS0020153108,-,new_species,
INSERT,NEW,-,,-,Coelostoma orbiculare,-,NHMSYS0001717707,-,new_species,
INSERT,NEW,-,,-,Cartodere bifasciata,-,NHMSYS0020919966,-,new_species,
INSERT,NEW,-,,-,Nebria rufescens,-,NHMSYS0021232987,-,new_species,
INSERT,NEW,-,,-,Calamosternus granarius,-,NHMSYS0021442445,-,new_species,
INSERT,NEW,-,,-,Bledius pallipes,-,NHMSYS0021232903,-,new_species,
INSERT,NEW,-,,-,Cantharis figurata,-,NBNSYS0000024229,-,new_species,
INSERT,NEW,-,,-,Altica lythri,-,NHMSYS0020151191,-,new_species,
INSERT,NEW,-,,-,Hydaticus seminiger,-,NHMSYS0001718477,-,new_species,
INSERT,NEW,-,,-,Ptiliolum fuscum,-,NBNSYS0000022894,-,new_species,
INSERT,NEW,-,,-,Harpalus latus,-,NBNSYS0000007397,-,new_species,
INSERT,NEW,-,,-,Acrotrichis danica,-,NBNSYS0000022918,-,new_species,
INSERT,NEW,-,,-,Oxytelus laqueatus,-,NBNSYS0000023260,-,new_species,
INSERT,NEW,-,,-,Anthribus fasciatus,-,NHMSYS0020151301,-,new_species,
INSERT,NEW,-,,-,Apion cruentatum,-,NBNSYS0000025024,-,new_species,
INSERT,NEW,-,,-,Anthonomus pedicularius,-,NBNSYS0000025446,-,new_species,
INSERT,NEW,-,Saltmarsh Short-spur,-,Anisodactylus poeciloides,-,NBNSYS0000007412,-,new_species,
INSERT,NEW,-,Heather Weevil,-,Strophosoma sus,-,NBNSYS0000025166,-,new_species,
INSERT,NEW,-,,-,Agonum gracile,-,NBNSYS0000007324,-,new_species,
INSERT,NEW,-,,-,Longitarsus flavicornis,-,NBNSYS0000011243,-,new_species,
INSERT,NEW,-,,-,Helophorus minutus,-,NBNSYS0000007667,-,new_species,
INSERT,NEW,-,,-,Scymnus schmidti,-,NBNSYS0000008298,-,new_species,
INSERT,NEW,-,,-,Atheta fungi,-,NBNSYS0000023893,-,new_species,
INSERT,NEW,-,Raspberry Flea Beetle,-,Batophila rubi,-,NBNSYS0000011280,-,new_species,
INSERT,NEW,-,,-,Thryogenes festucae,-,NBNSYS0000025328,-,new_species,
INSERT,NEW,-,,-,Loricera pilicornis,-,NHMSYS0001718877,-,new_species,
INSERT,NEW,-,,-,Peltodytes caesus,-,NBNSYS0000007494,-,new_species,
INSERT,NEW,-,,-,Ocyusa maura,-,NBNSYS0000024025,-,new_species,
INSERT,NEW,-,,-,Quedius boopoides,-,NBNSYS0000023544,-,new_species,
INSERT,NEW,-,,-,Dyschirius thoracicus,-,NBNSYS0000007182,-,new_species,
INSERT,NEW,-,,-,Hydroporus dorsalis,-,NBNSYS0000149054,-,new_species,
INSERT,NEW,-,,-,Anthicus antherinus,-,NBNSYS0000024956,-,new_species,
INSERT,NEW,-,,-,Malthinus seriepunctatus,-,NBNSYS0000024254,-,new_species,
INSERT,NEW,-,,-,Corticaria impressa,-,NBNSYS0000024750,-,new_species,
