Change Type,DB ID,Old Name,New Name,Old Scientific Name,New Scientific Name,Old NBN GUID,New NBN GUID,Match Score,Match Type,Conservation Status
INSERT,NEW,-,,-,Gargara genistae,-,NHMSYS0020705606,-,new_species,
INSERT,NEW,-,,-,Cacopsylla pulchra,-,NHMSYS0020705851,-,new_species,
INSERT,NEW,-,,-,Capitophorus hippophaes,-,NHMSYS0021121651,-,new_species,
INSERT,NEW,-,,-,Gilletteella cooleyi,-,NHMSYS0020705535,-,new_species,
INSERT,NEW,-,,-,Cacopsylla ambigua,-,NHMSYS0020705836,-,new_species,
INSERT,NEW,-,,-,Aphanus rolandri,-,NHMSYS0020308945,-,new_species,
INSERT,NEW,-,,-,Arocephalus punctum,-,NBNSYS0000010513,-,new_species,
INSERT,NEW,-,European Tarnished Plant Bug,-,Lygus rugulipennis,-,NHMSYS0020309398,-,new_species,
INSERT,NEW,-,,-,Brachycaudus (Brachycaudus) helichrysi,-,NHMSYS0021121650,-,new_species,
INSERT,NEW,-,,-,Apolygus spinolae,-,NHMSYS0020976917,-,new_species,
INSERT,NEW,-,,-,Myzus (Nectarosiphon) antirrhinii,-,NHMSYS0021299609,-,new_species,
INSERT,NEW,-,,-,Criomorphus albomarginatus,-,NHMSYS0020705311,-,new_species,
INSERT,NEW,-,,-,Metopoplax ditomoides,-,NHMSYS0020309448,-,new_species,
INSERT,NEW,-,,-,Myzus (Sciamyzus) cymbalariae,-,NHMSYS0020736419,-,new_species,
INSERT,NEW,-,Water Cricket,-,Velia (Plesiovelia) caprai,-,NHMSYS0020309936,-,new_species,
INSERT,NEW,-,Apple-grass Aphid,-,Rhopalosiphum insertum,-,NHMSYS0020705871,-,new_species,
INSERT,NEW,-,,-,Temnostethus (Montandoniella) gracilis,-,NHMSYS0020309882,-,new_species,
INSERT,NEW,-,,-,Evacanthus acuminatus,-,NHMSYS0020705592,-,new_species,
INSERT,NEW,-,Cottony Camellia Scale,-,Pulvinaria floccifera,-,NHMSYS0020973469,-,new_species,
INSERT,NEW,-,,-,Corixa affinis,-,NHMSYS0000527509,-,new_species,
INSERT,NEW,-,,-,Saldula opacula,-,NHMSYS0020309795,-,new_species,
INSERT,NEW,-,,-,Peritrechus nubilus,-,NHMSYS0020309634,-,new_species,
INSERT,NEW,-,,-,Planaphrodes bifasciata,-,NHMSYS0020705215,-,new_species,
INSERT,NEW,-,,-,Closterotomus fulvomaculatus,-,NHMSYS0020976956,-,new_species,
INSERT,NEW,-,,-,Aphis brohmeri,-,NHMSYS0021299254,-,new_species,
INSERT,NEW,-,,-,Rhopalus (Aeschyntelus) maculatus,-,NHMSYS0020309773,-,new_species,
INSERT,NEW,-,Vernal Shieldbug,-,Peribalus strictus,-,NHMSYS0021131492,-,new_species,
INSERT,NEW,-,,-,Pithanus maerkelii,-,NHMSYS0020309679,-,new_species,
INSERT,NEW,-,,-,Cinara (Cupressobium) juniperi,-,NHMSYS0020736323,-,new_species,
