Change Type,DB ID,Old Name,New Name,Old Scientific Name,New Scientific Name,Old NBN GUID,New NBN GUID,Match Score,Match Type,Conservation Status
INSERT,NEW,-,,-,Phytomyza chaerophylli,-,NBNSYS0000029776,-,new_species,
INSERT,NEW,-,,-,Cinochira atra,-,NBNSYS0000030039,-,new_species,
INSERT,NEW,-,,-,Tachytrechus consobrinus,-,NBNSYS0000012642,-,new_species,
INSERT,NEW,-,,-,Liancalus virens,-,NBNSYS0000012656,-,new_species,
INSERT,NEW,-,,-,Cheilosia albipila,-,NBNSYS0000006972,-,new_species,
INSERT,NEW,-,,-,Fannia mollissima,-,NBNSYS0000030677,-,new_species,
INSERT,NEW,-,,-,Molophilus flavus,-,NBNSYS0000008261,-,new_species,
INSERT,NEW,-,,-,Pullimosina moesta,-,NBNSYS0000029180,-,new_species,
INSERT,NEW,-,,-,Elachiptera tuberculifera,-,NBNSYS0000029937,-,new_species,
INSERT,NEW,-,,-,Meiosimyza decipiens,-,NBNSYS0100003950,-,new_species,
INSERT,NEW,-,,-,Macrocera phalerata,-,NBNSYS0000011638,-,new_species,
INSERT,NEW,-,,-,Tipula varipennis,-,NBNSYS0000008009,-,new_species,
INSERT,NEW,-,,-,Mycetophila ornata,-,NBNSYS0000012056,-,new_species,
INSERT,NEW,-,,-,Zygomyia valida,-,NBNSYS0000012086,-,new_species,
INSERT,NEW,-,Black Snipefly,-,Chrysopilus cristatus,-,NBNSYS0000007850,-,new_species,
INSERT,NEW,-,,-,Tanyptera nigricornis,-,NBNSYS0100005704,-,new_species,
INSERT,NEW,-,,-,Cheilosia vernalis,-,NBNSYS0000007003,-,new_species,
INSERT,NEW,-,,-,Cheilosia albitarsis,-,NBNSYS0000006973,-,new_species,
INSERT,NEW,-,,-,Meromyza triangulina,-,NBNSYS0000029960,-,new_species,
INSERT,NEW,-,,-,Tipula flavolineata,-,NBNSYS0000008011,-,new_species,
INSERT,NEW,-,,-,Neoascia meticulosa,-,NBNSYS0000007028,-,new_species,
INSERT,NEW,-,,-,Helina depuncta,-,NBNSYS0000030843,-,new_species,
INSERT,NEW,-,,-,Hilara obscura,-,NBNSYS0000012500,-,new_species,
INSERT,NEW,-,,-,Pipizella virens,-,NBNSYS0000007088,-,new_species,
