Week beginning,Date of survey,Start,Finish,Sun,Temp,Conditons met? (See details at foot of sheet),Surveyor N and/or M,Total count for the transect,Butterflies seen (with transect section number adjacent). State number of butterflies in writing to save confusion with transect section number.,Comments
14/04/2025,,,,,,,Mark,,,
21/04/2025,,,,,,,,,,
28/04/2025,02/05/2025,14.5,15.3,80%,22,Yes,N,5,"PEACOCK ONE, ORANGE TIP ONE (2): ORANGE TIP ONE, GREEN VEINED WHITE ONE (4); ORANGE TIP ONE (5)",
05/05/2025,09/05/2025,11.15,12.1,100%,15,Yes,M,7,"GREEN VEINED WHITE ONE, ORANGE TIP ONE (2); GREEN VEINED WHITE TWO (3); GREEN VEINED WHITE ONE, PEACOCK ONE (4); ORANGE TIP ONE (5).",
12/05/2025,18/05/2025,11.35,12.25,100%,17,Yes,N,3,COMMON BLUE ONE (2); PEACOCK ONE (3); PAINTED LADY ONE (4),
19/05/2025,22/05/2025,14.55,15.5,40%,19,Yes,N,3,LARGE SKIPPER TWO (2); PAINTED LADY ONE (2),
26/05/2025,29/05/2025,16,16.55,30%,21,Yes,M,13,"LARGE SKIPPER TWO (1); LARGE SKIPPER ONE (2); SMALL TORTOISESHELL ONE, LARGE SKIPPER ONE (3); LARGE SKIPPER TWO (4); LARGE SKIPPER SIX (5).",
02/06/2025,06/06/2025,14.55,15.45,20%,18,Yes,N,43,"LARGE SKIPPER FOUR (1); LARGE SKIPPER ONE, MEADOW BROWN FOUR (2); LARGE SKIPPER ELEVEN (3); MEADOW BROWN ONE, LARGE SKIPPER EIGHT (4); LARGE SKIPPER THIRTEEN, MEADOW BROWN ONE (5).",
09/06/2025,11/06/2025,15.35,16.25,30%,23,Yes,N,37,"LARGE SKIPPER THREE (1); LARGE SKIPPER SIX, MEADOW BROWN FOUR (2); LARGE SKIPPER NINE (3); LARGE SKIPPER FIVE, MEADOW BROWN SEVEN (4); LARGE SKIPPER ONE, MEADOW BROWN TWO (5).",
16/06/2025,18/06/2025,10.45,11.45,100%,24,Yes,M,138,MEADOW BROWN NINETEEN; SMALL TORTOISESHELL ONE; LARGE SKIPPER ONE; (1); MEADOW BROWN TWENTY TWO; LARGE SKIPPER FIVE; MARBLED WHITE ONE; (2); MEADOW BROWN EIGHT; LARGE SKIPPER ELEVEN; (3); MEADOW BROWN TWENTY SIX; LARGE SKIPPER SEVENTEEN (4); MEADOW BROWN TWENTY THREE; LARGE SKIPPER FOUR; (5).,
23/06/2025,26/06/2025,2.1,3.05,60%,22,Yes,N,201,MEADOW BROWN 20; SMALL SKIPPER 4; RINGLET 3; LARGE WHITE 2; GREEN VEINED WHITE1; COMMON BLUE 1 (1); MEADOW BROWN 20 (2); MEADOW BROWN 35; RINGLET 16; LARGE SKIPPER 14; SMALL SKIPPER 4; RED ADMIRAL 2; GREEN VEINED WHITE 2 (3); MEADOW BROWN 25; RINGLET 26; SMALL SKIPPER 4; LARGE SKIPPER 2 (4); MEADOW BROWN 11; SMALL SKIPPER 5; RINGLET 4 (5).,
